accession,organism,taxon
AXZF01000001.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000002.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000003.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000004.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000005.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000006.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000007.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000008.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000009.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000010.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000011.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000012.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000013.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000014.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000015.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000016.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000017.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000018.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000019.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000020.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000021.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000022.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000023.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000024.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000025.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000026.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000027.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000028.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000029.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000030.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000031.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000032.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000033.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000034.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000035.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000036.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000037.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000038.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000039.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000040.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000041.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000042.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000043.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000044.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000045.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000046.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000047.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000048.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000049.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000050.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000051.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000052.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000053.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000054.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000055.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000056.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000057.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000058.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000059.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000060.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000061.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000062.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000063.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000064.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000065.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000066.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000067.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000068.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000069.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000070.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000071.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000072.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000073.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000074.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000075.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000076.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000077.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000078.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000079.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000080.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000081.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000082.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000083.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000084.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000085.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000086.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000087.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000088.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000089.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000090.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000091.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000092.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000093.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000094.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000095.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000096.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000097.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000098.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000099.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000100.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000101.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000102.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000103.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000104.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000105.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000106.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000107.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000108.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000109.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000110.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000111.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000112.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000113.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000114.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000115.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000116.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000117.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000118.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000119.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000120.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000121.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000122.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000123.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000124.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000125.1,Cetobacterium somerae ATCC BAA-474,1319815
AXZF01000126.1,Cetobacterium somerae ATCC BAA-474,1319815
